Year	Page	PageView
2012	Team:BAU-Indonesia	10456
2012	Team:Groningen/Sticker	10353
2012	Team:Virginia/Project	10327
2012	World Championship Jamboree/Schedule	10301
2012	Team:NRP-UEA-Norwich/Quanticare	10286
2012	Judging/Judging Criteria	10255
2012	Team:Utah State	10247
2012	Team:NTNU Trondheim	10209
2012	Team:Groningen/Team	10186
2012	Team:WHU-China/Project	10117
2012	Team:Trieste	9987
2012	Team:NRP-UEA-Norwich	9939
2012	Team:Colombia/Project/Problem	9908
2012	Team:TU Darmstadt	9883
2012	Regions/Americas East/Jamboree	9749
2012	Team:Colorado State	9679
2012	Team:Washington	9674
2012	Team:Virginia	9655
2012	Team:NYMU-Taipei	9616
2012	Team:Valencia	9614
2012	Team:NCTU Formosa	9599
2012	Team:Hong Kong-CUHK	9598
2012	Team:Grenoble	9409
2012	Team:Bielefeld-Germany/Project/Background	9379
2012	Team:SUSTC-Shenzhen-B	9289
2012	Team:Kyoto/Notebook	9284
2012	Regions/Americas West/Jamboree	9167
2012	Team:Tianjin	9162
2012	Team:Uppsala University/Team	9144
2012	Team:Calgary/Team	9141
2012	Team:Stanford-Brown/HellCell/Introduction	9137
2012	Team:Cambridge/static/wiki.js	9135
2012	Team:Lethbridge	9067
2012	Team:Bielefeld-Germany/Results/immo	9039
2012	Team:USP-UNESP-Brazil	9028
2012	Team:SDU-Denmark/menu	9014
2012	Team:Waterloo	9012
2012	Team:St Andrews/Public-outreach	8976
2012	Team:Marburg SYNMIKRO	8963
2012	Team:Amsterdam	8946
2012	Team:EPF-Lausanne	8892
2012	Team:Fatih-Medical	8862
2012	Team:Macquarie Australia	8840
2012	Team:LMU-Munich/Bacillus BioBricks	8802
2012	Team Registration Fee	8700
2012	Team:Tokyo Tech/Project	8685
2012	Team:HKU HK	8637
2012	Team:Bielefeld-Germany/Results/pumi	8635
2012	Team:JUIT-India/Safety	8592
2012	Team:Warsaw	8496
2012	Team:Bielefeld-Germany/Sewage treatment plant	8479
2012	Team:UNAM Genomics Mexico	8477
2012	Team:Chalmers-Gothenburg	8472
2012	Workshops	8446
2012	Team:SUSTC-Shenzhen-A	8393
2012	Jamboree/Attendance Fee	8376
2012	Team:Peking/Project	8362
2012	Team:KIT-Kyoto	8331
2012	Feedback	8309
2012	Team:UT-Tokyo	8306
2012	Team:Utah State/Team	8289
2012	Team:Westminster	8260
2012	Team:University College London/Team	8255
2012	Team:USTC-China	8189
2012	Team:Calgary/Project/DataPage	8099
2012	Team:Tokyo-NoKoGen	8052
2012	Team:Bielefeld-Germany/Results/coli	8049
2012	Team:NTU-Taida	8023
2012	Team:Alberta/Project	8013
2012	Team:Bielefeld-Germany/Results/substrate	7984
2012	Team:Washington/Plastics	7966
2012	Team:ETH Zurich	7946
2012	Team:Frankfurt	7942
2012	Team:Caltech	7930
2012	Team:SYSU-Software	7877
2012	Team:British Columbia	7867
2012	Regions/Europe/During-Jamboree	7828
2012	Team:USTC-Software	7792
2012	Team:Slovenia/Team	7711
2012	Team:Purdue/Protocol	7650
2012	Team:ZJU-China/project.htm	7607
2012	Team:UANL Mty-Mexico/Team	7604
2012	Team:TU-Eindhoven	7549
2012	Regions/Asia/Jamboree/Pre-regional Jamboree	7537
2012	Team/CINVESTAV-IPN-UNAM MX/home.htm	7503
2012	IGEM Publications	7442
2012	Team:Alberta	7440
2012	Team:Calgary/Project	7420
2012	Team:Cornell/project	7401
2012	Team:Tuebingen	7395
2012	Team:Bordeaux	7379
2012	Team:SDU-Denmark	7371
2012	Team:UANL Mty-Mexico	7352
2012	Team:Purdue	7317
2012	Team:Chalmers-Gothenburg/Theory	7303
2012	Team:Wellesley HCI	7266
2012	Team:TU Munich/Team/Members	7265
2012	Team:Groningen/OurBiobrick	7253
2012	Team:Buenos Aires	7252
2012	Team:Groningen/Home Test	7231
2012	Team:Cambridge/Project/DesignProcess	7231
2012	Team:ZJU-China	7222
2012	Team:St Andrews/Omega-3-synthesis	7186
2012	Team:SEU A	7156
2012	Team:Purdue/Notebook	7123
2012	Team:Evry/GB	7094
2012	Team:Clemson	7081
2012	Team:WHU-China/Team	6999
2012	Team:Slovenia/TheSwitch	6988
2012	Team:METU	6960
2012	Team:Northwestern	6924
2012	Team:HIT-Harbin	6841
2012	Team:Marburg SYNMIKRO/Project	6830
2012	Team:Groningen/Notebook	6805
2012	Team:UT Dallas	6798
2012	Team:Slovenia/ModelingPK	6788
2012	Team:Shenzhen/js/jquery.min.js	6783
2012	Team:CBNU-Korea	6734
2012	Team:Paris Bettencourt/Restriction Enzyme	6733
2012	Team:Yale	6685
2012	Team:St Andrews/metal-binding	6678
2012	Team:Groningen/Construct	6659
2012	Team:Calgary/Project/HumanPractices/Killswitch/Regulation	6657
2012	Jamboree/Team Abstracts	6656
2012	Team:BostonU/NEGEM	6653
2012	Team:HokkaidoU Japan	6649
2012	Team:UT-Tokyo-Software	6553
2012	Team:Cornell/team/bios	6448
2012	Summer events	6437
2012	Team:Paris Bettencourt/Team	6436
2012	Team:NTU-Taida/Team	6406
2012	Team:St Andrews/Modelling	6391
2012	Team:St Andrews/Human-practices	6358
2012	Team:Tsinghua-A	6352
2012	Team:TU Munich/Project/Light Switchable Promoter	6341
2012	Team:NYU Gallatin	6334
2012	Team:CINVESTAV-IPN-UNAM MX	6329
2012	Team:Copenhagen	6329
2012	Team:Osaka/Project	6326
2012	Team:Cambridge/Team	6320
2012	Team:Wageningen UR/MethodsDetection	6273
2012	Team:Baskent-Meds	6258
2012	Team:Calgary/Project/FRED/Detecting	6255
2012	Team:Columbia-Cooper-NYC	6245
2012	Team:Wageningen UR/Team	6220
2012	Team:Bielefeld-Germany/Members	6208
2012	Team:Washington/Flu	6196
2012	Team:Kyoto/MethodAndMaterial	6142
2012	Team:NRP-UEA-Norwich/Human Outreach	6140
2012	Team:Calgary/Project/OSCAR/Bioreactor	6139
2012	Team:Lyon-INSA/team	6122
2012	Team:Goettingen/Notebook/Results	6115
2012	Team:UCSF	6113
2012	Team:LMU-Munich/Team	6110
2012	Team:Berkeley/Style	6096
2012	Team:UC Davis/Team	6076
2012	Team:KAIT Japan	6008
2012	Team:University College London/Research	6000
2012	Team:WHU-China/Notebooks	6000
2012	Team:USP-UNESP-Brazil/Team	5978
2012	Team:Cornell/stylesheets/app	5974
2012	Team:Gaston Day School	5965
2012	Team:Tokyo Tech/Comments.htm	5961
2012	Team:Paris Bettencourt/Overview	5961
2012	Team:XMU-China/cellimmobilization	5951
2012	Team:Penn State	5939
2012	Team:Groningen/Modeling	5935
2012	Information for Judges	5934
2012	Team:Paris Bettencourt/Notebook	5924
2012	Team:Groningen/volatiles	5922
2012	Team:Buenos Aires/Project/Model	5920
2012	Team:Fudan Lux	5919
2012	Team:Calgary/Project/OSCAR/Decarboxylation	5886
2012	Team:BostonU/Notebook	5883
2012	Team:Bielefeld-Germany/Amsterdam/Labjournal	5881
2012	Team:TU Munich/Project/Xanthohumol	5877
2012	Team:Kyoto/Team	5873
2012	Team:Warsaw/Team	5812
2012	Team:Fudan Lux/biowave	5811
2012	Sponsors/The MathWorks	5800
2012	Team:Wageningen UR/InsideModification	5726
2012	Team:Tokyo Tech/Projects/PHAs/index.htm	5716
2012	Team:Groningen/Data page	5712
2012	Team:Johns Hopkins-Wetware	5712
2012	Team:NTU-Taida/PEPDEX	5712
2012	Team:Freiburg/Project	5706
2012	Team:TMU-Tokyo	5704
2012	Team:UNITN-Trento/Project/CrustAway	5701
2012	Team:Bielefeld-Germany/Protocols/Materials	5700
2012	Team:Paris Bettencourt/Suicide	5683
2012	Team:USTC-China/background	5628
2012	Team:NCTU Formosa/Project	5619
2012	Team:Groningen/Sensor	5617
2012	Team:EPF-Lausanne/Team	5614
2012	Team:Potsdam Bioware/Project/At a Glance	5613
2012	Team:Cambridge/Project	5603
2012	Team:Berkeley/Project/Automation	5591
2012	Team:TU-Delft/Team2	5589
2012	Team:Calgary/Project/FRED/Reporting	5583
2012	Team:Wageningen UR/Coil system	5581
2012	Team:Tsinghua	5563
2012	Team:Michigan	5544
2012	Team:Missouri Miners	5520
2012	Team:Ehime-Japan	5516
2012	Team:Macquarie Australia/Notebook	5510
2012	Regions/Asia/Jamboree/During Regional Jamboree	5510
2012	Photo Gallery	5495
2012	Team:Lyon-INSA/safety	5493
2012	Team:Potsdam Bioware/Project/Part Virus	5474
2012	Team:RHIT/main.css	5471
2012	Team:Panama INDICASAT	5468
2012	Team:Paris Bettencourt/Semantic containment	5445
2012	Team:Slovenia/Slovenian	5442
2012	Team:Minnesota	5434
2012	World Championship Jamboree/Handbook	5422
2012	Security	5421
2012	Team:Wageningen UR/Project	5421
2012	Team	5415
2012	Team:TU Munich/Project/Thaumatin	5402
2012	Team:Kyoto/Consideration	5397
2012	Team:Frankfurt/Notebook	5389
2012	Team:Berkeley/Team	5378
2012	Team:Osaka	5371
2012	Team:McMaster-Ontario	5354
2012	World Championship Jamboree/Hotels	5322
2012	Team:Calgary/Project/Synergy	5277
2012	Team:SUSTC-Shenzhen-A/Project	5270
2012	Team:Utah State/Results	5263
2012	Team:NYMU-Taipei/ymis3.html	5262
2012	Team:Slovenia/TheSwitchDesignedTALregulators	5240
2012	Team:Warsaw/Project	5218
2012	Team:KAIST Korea	5207
2012	Regions/Europe/Jamboree/results	5206
2012	Main Page Archive	5182
2012	Team:TU Munich/Human Practice/Overview	5147
2012	Team:Tokyo-NoKoGen/Project/lux operon	5140
2012	Team:RHIT/Project	5128
2012	Team:NTU-Taida/Project/Effector	5125
2012	Team:LMU-Munich/Lab Notebook/Protocols	5114
2012	Team:Queens Canada/Team	5104
2012	Team:MIT/Motivation	5083
2012	Team:Calgary/Project/OSCAR/Desulfurization	5068
2012	Team:Kyoto/Secretion/Notebook	5066
2012	Regions/Europe/Pre-Jamboree	5046
2012	Team:Slovenia/TheSwitchPositiveFeedbackLoopSwitch	5036
2012	Team:Goettingen/Team	5020
2012	Team:Freiburg/Project/Intro	5018
2012	Team:NTNU Trondheim/Notebook	4980
2012	Team:Duke	4976
2012	Team:Bielefeld-Germany/Judging	4963
2012	Team:Columbia-Cooper-NYC/Team	4961
2012	Team:Chalmers-Gothenburg/Biodetection of hCG	4955
2012	Team:Fatih-Medical/Team	4953
2012	Team:Trieste/team	4945
2012	Sponsors/IDT	4940
2012	Team:Groningen/pigmentproduction	4932
2012	Team:SUSTC-Shenzhen-A/Team	4924
2012	Team:UTK-Knoxville	4921
2012	Team:Tsinghua-D	4917
2012	Team:LMU-Munich/Weekly Journal	4911
2012	Team:Evry/Project	4902
2012	Team:METU/Team	4897
2012	Team:Penn/ProjectOverview	4892
2012	Team:Johns Hopkins-Software/Templates/cssindex	4885
2012	Team:Wageningen UR/TheConstructor	4873
2012	Team:SJTU-BioX-Shanghai/Project/project2.2	4865
2012	Team:Calgary/Notebook/Protocols	4858
2012	Team:Calgary/Project/HumanPractices/Interviews	4857
2012	Team:Paris-Saclay	4852
2012	Team:USC	4846
2012	Team:Washington/Optogenetics	4846
2012	Team:Stanford-Brown/AboutUs/Team	4836
2012	Team:Peking/DataPage	4833
2012	Team:LMU-Munich/Spore Coat Proteins	4829
2012	Team:SJTU-BioX-Shanghai/Project	4822
2012	Team:TU-Delft/part1	4794
2012	Team:Penn/Team	4777
2012	Regions/Europe/TravelInfomation	4764
2012	Team:Bielefeld-Germany/Amsterdam/Results	4753
2012	Team:TU Munich/Notebook/Meetings	4743
2012	Team:Potsdam Bioware/Project/Part Antibody	4741
2012	Team:NTU-Taida/Project/Background	4732
2012	Team:Shenzhen	4722
2012	Team:LMU-Munich/Germination Stop	4711
2012	Team:Calgary/Project/OSCAR/FluxAnalysis	4700
2012	Team:HUST-China	4692
2012	Jamboree/Title and Abstract	4687
2012	Team:Wageningen UR/ObtainingthePoleroVLP	4679
2012	Team:British Columbia/Team	4670
2012	Team:Calgary/Notebook/Desulfurization	4669
2012	Team:LMU-Munich/Sponsors	4646
2012	Team:Bielefeld-Germany/Safety	4634
2012	Team:CU-Boulder/Project	4617
2012	Team:Slovenia/Idea	4588
2012	Team:Peking/Modeling	4582
2012	Team:TMU-Tokyo/Team	4580
2012	Team:Edinburgh/Project	4577
2012	Team:Evry/FrenchFrog	4569
2012	Team:MIT/MaterialsAndMethods	4566
2012	Team:Cornell/project/background/environmental concerns	4565
2012	Team:Missouri Miners/Project	4560
2012	Team:Arizona State/Problem	4557
2012	Team:Calgary/Parts	4552
2012	Team:Peking/Project/Luminesensor/Design	4550
2012	Team:Washington/Team:Members	4542
2012	World Championship Jamboree/Program	4519
2012	Regions/Europe/AwardStream	4519
2012	Team:University College London/BioBricks	4518
2012	Team:UNITN-Trento/Team	4515
2012	Team:British Columbia/Consortia	4491
2012	Team:Leicester	4489
2012	Team:Stanford-Brown/VenusLife/Introduction	4475
2012	Team:LMU-Munich/Project	4466
2012	Regions/Asia/Jamboree/results	4462
2012	Team:Peking/Project/Luminesensor	4454
2012	Team:Purdue/Characterization	4451
2012	Team:Slovenia/ImplementationHepatitisC	4448
2012	Team:Berkeley/Project/Zippers	4443
2012	Team:Yale/Project	4442
2012	Team:Valencia Biocampus/talking	4432
2012	Team:Calgary/Notebook/Killswitch	4431
2012	Team:Calgary/Project/HumanPractices/Killswitch	4426
2012	Team:Wisconsin-Madison/lemon	4424
2012	Team:TU-Delft/Modeling	4414
2012	World Championship Jamboree/Schedule/Practice sessions	4407
2012	Team:CU-Boulder/Team	4391
2012	Team:Bielefeld-Germany/Labjournal/week14	4384
2012	Team:Calgary/Project/OSCAR/CatecholDegradation	4383
2012	Team:Exeter/Concept	4379
2012	Team:BostonU/Data	4378
2012	Team:UC Chile/Cyano/Notepad	4373
2012	Team:TU Munich/Results/Biobricks	4356
2012	Team:Edinburgh/Team	4355
2012	Team:Leicester/August2012	4351
2012	Team:Berkeley/Project	4350
2012	Team:Tec-Monterrey/allergen/project	4341
2012	Team:Dundee/Team	4321
2012	Team:Ciencias-UNAM	4320
2012	Team:UC Davis/Project	4318
2012	Team:University College London/HumanPractice/SpeedDebating	4277
2012	Team:NCTU Formosa/Team	4273
2012	Team:University College London/Achievements	4267
2012	Team:Calgary/Outreach/VideoGame	4261
2012	Team:Calgary/Project/OSCAR/Denitrogenation	4252
2012	Team:MIT/HumanPractices	4251
2012	Team:TU Darmstadt/Labjournal/Transport	4243
2012	Team:Nanjing China Bio	4242
2012	Team:Dundee/Software	4236
2012	Team:Caltech/Human Practice	4229
2012	Team:UANL Mty-Mexico/Notebook/protocols	4226
2012	Team:Austin Texas/Spinach reporter	4208
2012	Team:Uppsala University/Project	4207
2012	Team:NRP-UEA-Norwich/Team	4205
2012	Team:Georgia Tech	4196
2012	Team:Technion	4184
2012	Team:ETH Zurich/Team	4184
2012	Team:Austin Texas/Team	4174
2012	Team:NTNU Trondheim/Matchmaker	4166
2012	Sponsors/Autodesk	4165
2012	Team:Bielefeld-Germany/Results/thermo	4159
2012	Team:uOttawa CA	4159
2012	Team:TU Munich/Human Practice/Public	4149
2012	Team:UNAM Genomics Mexico/Results/Nanotubes	4144
2012	Team:BostonU/MoClo2	4144
2012	World Championship Jamboree/Workshops	4129
2012	Team:Calgary/Project/FRED/Prototype	4113
2012	Team:Alberta/Team	4108
2012	Team:Calgary/Project/Post-Regionals	4105
2012	Team:MIT/Results	4103
2012	Team:Edinburgh/Project/Non-antibiotic-Markers	4101
2012	Team:NTNU Trondheim/Model	4100
2012	Team:Tianjin/Project	4098
2012	Team:Paris Bettencourt/Delay	4092
2012	Team:Groningen/Festivals	4086
2012	Team:HokkaidoU Japan/Project/PHB Synthesis	4086
2012	Team:Caltech/Team	4073
2012	Team:USP-UNESP-Brazil/stylesheet	4070
2012	Team:Bielefeld-Germany/Labjournal/week19	4066
2012	Team:Freiburg/Team2	4064
2012	Team:Colombia/Modeling/Paramterers	4059
2012	Team:Carnegie Mellon/Hum-Overview	4058
2012	Team:Groningen/Stop the food waste initiative	4053
2012	Team:Austin Texas/ZombiE coli	4044
2012	Team:Valencia/profiles	4041
2012	Team:Valencia Biocampus/Bacterium	4039
2012	Team:Freiburg/Project/Overview	4039
2012	Team:Rutgers	4036
2012	Team:Bielefeld-Germany/Results/halo	4035
2012	Team:Duke/Project	4029
2012	Team:Carnegie Mellon/Notebook	4026
2012	Team:Bielefeld-Germany/Protocols/molecular genetics	4026
2012	Team:Utah State/Notebook	4026
2012	Team:Calgary/Project/FRED	4012
2012	Team:Chalmers-Gothenburg/Results	4011
2012	Team:Groningen/parts fail	4007
2012	Team:TU-Delft/Modeling/Diffusion	4002
2012	Team:Carnegie Mellon/Hum-Circuit	4001
2012	Team:Slovenia/Modeling	3999
2012	Team:Freiburg/Project/Vektor	3999
2012	Team:Peking/Team/Members	3969
2012	Team:ULB-Brussels	3968
2012	Team:Columbia-Cooper-NYC/Main	3962
2012	Team:EPF-Lausanne/Project	3962
2012	Team:OUC-China/Project/Overview	3961
2012	Team:Exeter/Applications	3952
2012	Team:Slovenia/SafetyMechanismsTermination	3939
2012	Team:MIT/Notebook	3930
2012	Team:Purdue/Team	3929
2012	Team:Penn/Nissle	3928
2012	Team:Bielefeld-Germany/Human Practices/Press	3906
2012	Team:Chalmers-Gothenburg/Notebook	3905
2012	Team:Wageningen UR/OutsideModification	3903
2012	Team:NTNU Trondheim/Project	3902
2012	Registration Handbook	3901
2012	Team:UTP-Software	3891
2012	Team:Macquarie Australia/Protocols/GibsonTips	3886
2012	Team:Paris Bettencourt/Achievements	3875
2012	Team:UPIBI-Mexico	3875
2012	Team:Carnegie Mellon/Mod-Derivations	3862
2012	Team:Calgary/Sponsors	3860
2012	Team:Groningen/Kill Switch	3855
2012	Team:LMU-Munich/Bacillus Introduction	3854
2012	Team:UC Chile/Team/Members	3843
2012	Team:BYUProvo/Modeling	3843
2012	Team:CD-SCU-CHINA	3833
2012	Team:WHU-China/Modeling	3833
2012	Team:Evry/Modeling	3833
2012	Team:Lyon-INSA/menu	3830
2012	Team:TU-Delft/Notebook	3830
2012	Regions/Europe/Post-Jamboree	3829
2012	Team:Michigan/Project	3824
2012	Team:Calgary/Project/HumanPractices	3823
2012	Team:Westminster/Team	3823
2012	Team:RHIT/Current Team	3820
2012	Team:Slovenia/ImplementationIschaemicHeartDisease	3818
2012	Team:Bielefeld-Germany/Project/Appoach	3817
2012	Team:Colombia/Notebook/Journal	3816
2012	Team:HKUST-Hong Kong/Characterization	3815
2012	Regions/Americas West/Pre-Jamboree	3809
2012	Team:MIT/TheKeyReaction	3807
2012	Team:Bonn	3799
2012	Team:Bielefeld-Germany/Modell	3793
2012	Team:LMU-Munich/Data	3792
2012	Team:Evry/Safety	3791
2012	Regions/Americas West/During Jamboree	3789
2012	Team:Carnegie Mellon/Met-Overview	3786
2012	Team:Slovenia/ModelingMethods	3779
2012	Team:Nevada/Project/	3778
2012	Team:GeorgiaState	3778
2012	Team:TU Munich/Results/RFC	3770
2012	Team:Slovenia/TheSwitchMutualRepressorSwitch	3767
2012	Team:Leicester/September2012	3763
2012	Team:University College London/css	3763
2012	Team:Carnegie Mellon/stylesheet	3755
2012	Team:Korea U Seoul	3753
2012	Team:Colorado State/Project	3752
2012	Team:UC Chile/Cyanolux/Results	3745
2012	Team:Leicester/Project	3738
2012	Team:SJTU-BioX-Shanghai/Parts	3724
2012	Team:Paris Bettencourt/Encapsulation	3719
2012	Team:BostonU/Team	3715
2012	World Championship Jamboree/Campus Map	3706
2012	Team:HKUST-Hong Kong/Module/Regulation and control	3706
2012	Team:Freiburg/HumanPractices/Education	3700
2012	Team:Edinburgh/Project/Non-antibiotic-Markers/Plac-RFP-SacB	3700
2012	Team:Groningen/Gallery	3689
2012	Team:Freiburg/Parts	3685
2012	Judging/Awards	3682
2012	Team:TU-Delft/overview	3666
2012	Team:Amsterdam/maarten/	3663
2012	Team:Wellesley HCI/Team	3661
2012	Team:Slovenia/Parts	3659
2012	Team:Stanford-Brown/Biomining/Introduction	3654
2012	Team:SEU A/Team	3642
2012	Team:Grenoble/Safety/Assesment	3639
2012	Team:Nanjing-China	3636
2012	Team:Wageningen UR/Parts	3628
2012	Team:BostonU/Project Overview	3621
2012	Team:Cornell/Notebook/Wetlab	3619
2012	Team:UANL Mty-Mexico/hp/tunnel	3617
2012	Team:TU-Delft/Modeling/StructuralModeling	3617
2012	Team:HokkaidoU Japan/Notebook/aggregation Week 2	3614
2012	Team:Calgary/Project/OSCAR	3611
2012	Team:Wellesley HCI/MoClo Planner	3609
2012	Team:Lyon-INSA/notebook	3588
2012	Team:TU-Delft/protocols	3584
2012	Team:Lyon-INSA/town	3582
2012	Team:Potsdam Bioware/Lab/Safety	3582
2012	Team:Ehime-Japan/Project	3578
2012	Regions/Americas East/During Jamboree	3578
2012	Team:NTNU Trondheim/Team	3573
2012	Team:SEU O China	3572
2012	Team:NYU Gallatin/	3568
2012	Team:UC-Merced	3568
2012	Team:BostonU/Methodology	3568
2012	Team:Dundee/Solution	3566
2012	Team:UIUC-Illinois/Outreach	3562
2012	Team:EPF-Lausanne/Human/Survey	3561
2012	Team:Stanford-Brown/Templates/css	3561
2012	Regions/Americas East/Pre-Jamboree	3558
2012	Team:Cornell/project/drylab/components	3541
2012	Team:Freiburg/Project/Experiments	3540
2012	Team:Valencia/Project	3540
2012	Team:Grenoble/Biology/Network	3539
2012	Team:Johns Hopkins-Software/AutoPlasmid	3535
2012	Team:Goettingen/Project/Materials	3534
2012	Team:IIT Madras	3531
2012	Team:UC Davis/Project/Catalyst	3530
2012	Regions/Americas West/Palo Alto	3523
2012	Regions/Europe/Gallery	3523
2012	Team:Peking/Project/Communication/Results	3523
2012	World Championship Jamboree/Hurricane	3518
2012	Team:UIUC-Illinois/Notebook/MeetingNotes	3517
2012	Team:MIT/Actuation	3516
2012	Team:Lyon-INSA/Attributions	3509
2012	Team:Calgary/Safety	3509
2012	Team:UNAM Genomics Mexico/Team	3508
2012	Team:NRP-UEA-Norwich/Experiments	3507
2012	Team:IvyTech-South Bend	3506
2012	Team:Slovenia/ModelingQuantitativeModel	3506
2012	Team:Groningen/international cooperation	3501
2012	Team:Calgary/Notebook/Decarboxylation	3497
2012	Team:Groningen/10com	3487
2012	Team:Toronto	3482
2012	Team:NCTU Formosa/HumanPractice	3480
2012	Team:BYUProvo	3479
2012	Team:TU-Delft/Modeling/SingleCellModel	3474
2012	Team:Groningen/overview	3473
2012	Team:Valencia Biocampus/Achievements	3473
2012	Team:UC Chile/Cyanolux/Project short	3471
2012	Team:Berkeley/Project/Localization	3468
2012	Team:Bonn/Team	3467
2012	Team:Alberta/Parts	3461
2012	Team:Cambridge/Protocols	3454
2012	Team:Cornell/project/wetlab	3454
2012	Team:Wageningen UR/HumanBody	3451
2012	Team:MIT/NOTGate	3447
2012	Team:Tokyo Tech/Experiment/PHB	3445
2012	Team:Goettingen/Project	3441
2012	Team:Groningen/Safety	3441
2012	Team:Edinburgh/Safety	3440
2012	Team:Peking/Project/Luminesensor/Characterization	3438
2012	Team:SEU O China/Project	3432
2012	Team:Carnegie Mellon/Met-Results	3429
2012	Team:TU Darmstadt/Team	3428
2012	Team:OUC-China/Project/Sensor/AbstractandBackground	3425
2012	Team:Macquarie Australia/Results	3417
2012	Team:Slovenia/Notebook	3413
2012	Team:USTC-China/results	3407
2012	Team:Costa Rica-TEC-UNA	3406
2012	Team:Valencia Biocampus/Yeast	3405
2012	Team:Bonn/Project	3402
2012	Team:TU Munich/Notebook/Protocols	3386
2012	Regions/Europe/Jamboree/PracticeSessions	3384
2012	Team:Wellesley HCI/SynBio Search	3376
2012	Team:Fudan Lux/result	3375
2012	Team:Caltech/Project	3374
2012	Team:Utah State/Parts	3374
2012	Team:NTU-Taida/Project/Stability	3355
2012	Team:Bielefeld-Germany/Acknowledgements	3353
2012	Team:Goettingen/Human Practice/Panel Discussion	3350
2012	Team:Calgary/Project/Accomplish	3349
2012	Team:Dundee/Results	3345
2012	Team:TU Munich/Project/Ethanol Inducible Promoter	3341
2012	Team:Calgary/Project/HumanPractices/Killswitch/KillGenes	3335
2012	Team:Potsdam Bioware/Project/Part AID	3334
2012	Team/CINVESTAV-IPN-UNAM MX/Members.htm	3328
2012	Team:Cornell/Sandbox/notebook	3323
2012	Team:UC Davis/Project/Protein Engineering	3314
2012	Team:Colombia/Parts	3308
2012	Team:Goettingen/Project/Bioinformatical Tool	3307
2012	Regions/North America East/Jamboree	3307
2012	Team:UTK-Knoxville/Team	3303
2012	Team:St Andrews/Team	3302
2012	Team:UNAM Genomics Mexico/BioSintetizarte	3299
2012	Team:Calgary/Notebook/Protocols/soe	3289
2012	Team:SYSU-China	3289
2012	Team:Edinburgh/Project/Bioelectric-Interface	3281
2012	Team:Shenzhen/Team	3279
2012	Team:Chalmers-Gothenburg/Team	3272
2012	Team:Tec-Monterrey EKAM	3266
2012	Team:Penn/LightActivatedOverview	3256
2012	Team:Missouri Miners/Team	3254
